,round,"I_state_counts,","A_state_counts,","S_state_counts,","R_state_counts,",polarization_internal,polarization_external,polarization_equilibrium,disagreement_internal,disagreement_external,disagreement_equilibrium
0,0.0,3729.0,0.0,19.0,0.0,315.78556909972536,315.78556909972536,7.585397556053341,7026.46342298747,7026.46342298747,25.33586448618012
1,1.0,3447.0,139.0,143.0,19.0,18.87904299397545,317.2346926025929,1.8904717042668484,118.48595566772318,7039.651200368424,3.1380127300142386
2,2.0,1524.0,593.0,1469.0,162.0,9.688101371505432,320.2025506318561,1.2900092322314123,42.383026696651534,6829.408734627394,1.823170195023414
3,3.0,257.0,275.0,1585.0,1631.0,7.892022234134846,297.67765395676236,1.1670273444550343,27.381614249215502,6491.703112624638,1.570402415809745
4,4.0,86.0,157.0,289.0,3216.0,7.792541210960229,293.96663254543137,1.1953802310149224,25.891369265884894,6481.330397804849,1.5757577662479447
5,5.0,75.0,144.0,24.0,3505.0,7.608065147990942,293.50618411103005,1.1645885447961262,25.09316027957998,6479.888350195594,1.5408831804384118
6,6.0,73.0,143.0,3.0,3529.0,7.5686557438051825,293.3940939234794,1.1560803815517766,24.967627788474157,6479.556755480123,1.5327694612956109
7,7.0,73.0,142.0,1.0,3532.0,7.547480521116878,293.3940939234794,1.1510223465621985,24.880195402844624,6479.556755480123,1.5290222914589633
8,8.0,73.0,142.0,0.0,3533.0,7.530383977582065,293.3940939234794,1.1465486346991645,24.823890472030538,6479.556755480123,1.5256195698045394
9,9.0,73.0,142.0,0.0,3533.0,7.505509577938431,293.3940939234794,1.1410629579761868,24.74929529328652,6479.556755480123,1.5205932320092044
10,10.0,73.0,142.0,0.0,3533.0,7.478690909902465,293.3940939234794,1.1354016259624122,24.670947780060292,6479.556755480123,1.5151161036761993
11,11.0,73.0,142.0,0.0,3533.0,7.450979346801447,293.3940939234794,1.1297814888531608,24.58942105604135,6479.556755480123,1.5094689396729357
12,12.0,73.0,142.0,0.0,3533.0,7.4239469991482245,293.3940939234794,1.1244213382369543,24.508888634153962,6479.556755480123,1.5039777564678705
13,13.0,73.0,142.0,0.0,3533.0,7.398237207144172,293.3940939234794,1.119399342321981,24.431200836610543,6479.556755480123,1.4987780511322237
14,14.0,73.0,142.0,0.0,3533.0,7.374284195302867,293.3940939234794,1.1147587699456685,24.35780395206328,6479.556755480123,1.493955902054985
